SURVEY:   WFIRST
SNID:     423
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.004     # estimate for LC fit codes

REDSHIFT_HELIO:   0.594298 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.594935 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.59430  
SIM_REDSHIFT_CMB:    0.59494  
SIM_REDSHIFT_HOST:   0.59430  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.7158   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.295     # host extinction at 5510 A
SIM_RV:            1.519     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.088
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.40  # days 
SIM_TRESTMAX:        39.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.26  23.44  23.91  24.33  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 76
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 55013.0000 H MEDIUM  1.4319e+01  8.258e-01    0  1.000 32.024  0.92 8.866e+00  24.6129 
OBS: 55013.0000 J MEDIUM  2.3464e+01  1.159e+00    0  1.000 31.688  0.91 7.642e+00  24.0980 
OBS: 55013.0000 Z MEDIUM  4.8521e+01  1.702e+00    0  1.000 31.401  0.91 6.772e+00  23.2920 
OBS: 55013.0000 Y MEDIUM  3.9845e+01  1.530e+00    0  1.000 31.483  0.91 7.070e+00  23.4937 
OBS: 55016.0000 J MEDIUM  2.2580e+01  1.151e+00    0  1.000 31.688  0.91 7.642e+00  24.1764 
OBS: 55016.0000 H MEDIUM  1.1432e+01  7.983e-01    0  1.000 32.024  0.92 8.866e+00  24.7176 
OBS: 55016.0000 Y MEDIUM  3.9579e+01  1.528e+00    0  1.000 31.483  0.91 7.070e+00  23.5704 
OBS: 55016.0000 Z MEDIUM  4.7075e+01  1.690e+00    0  1.000 31.401  0.91 6.772e+00  23.3451 
OBS: 55019.0000 H MEDIUM  1.1806e+01  8.019e-01    0  1.000 32.024  0.92 8.866e+00  24.7796 
OBS: 55019.0000 J MEDIUM  2.1926e+01  1.145e+00    0  1.000 31.688  0.91 7.642e+00  24.2717 
OBS: 55019.0000 Y MEDIUM  3.1497e+01  1.459e+00    0  1.000 31.483  0.91 7.070e+00  23.6823 
OBS: 55019.0000 Z MEDIUM  4.2446e+01  1.652e+00    0  1.000 31.401  0.91 6.772e+00  23.4261 
OBS: 55022.0000 Z MEDIUM  3.8412e+01  1.618e+00    0  1.000 31.401  0.91 6.772e+00  23.5284 
OBS: 55022.0000 Y MEDIUM  2.8433e+01  1.432e+00    0  1.000 31.483  0.91 7.070e+00  23.8153 
OBS: 55022.0000 H MEDIUM  1.1555e+01  7.995e-01    0  1.000 32.024  0.92 8.866e+00  24.7959 
OBS: 55022.0000 J MEDIUM  1.8789e+01  1.115e+00    0  1.000 31.688  0.91 7.642e+00  24.3536 
OBS: 55025.0000 Y MEDIUM  2.6304e+01  1.413e+00    0  1.000 31.483  0.91 7.070e+00  23.9451 
OBS: 55025.0000 H MEDIUM  1.2802e+01  8.115e-01    0  1.000 32.024  0.92 8.866e+00  24.7764 
OBS: 55025.0000 J MEDIUM  1.7748e+01  1.106e+00    0  1.000 31.688  0.91 7.642e+00  24.4193 
OBS: 55025.0000 Z MEDIUM  3.3017e+01  1.572e+00    0  1.000 31.401  0.91 6.772e+00  23.6425 
OBS: 55028.0000 H MEDIUM  1.2900e+01  8.124e-01    0  1.000 32.024  0.92 8.866e+00  24.7219 
OBS: 55028.0000 Y MEDIUM  2.2215e+01  1.376e+00    0  1.000 31.483  0.91 7.070e+00  24.0411 
OBS: 55028.0000 J MEDIUM  1.7796e+01  1.106e+00    0  1.000 31.688  0.91 7.642e+00  24.4498 
OBS: 55028.0000 Z MEDIUM  3.3222e+01  1.574e+00    0  1.000 31.401  0.91 6.772e+00  23.7595 
OBS: 55031.0000 H MEDIUM  1.4015e+01  8.230e-01    0  1.000 32.024  0.92 8.866e+00  24.6391 
OBS: 55031.0000 J MEDIUM  1.5600e+01  1.085e+00    0  1.000 31.688  0.91 7.642e+00  24.4187 
OBS: 55031.0000 Y MEDIUM  2.5854e+01  1.409e+00    0  1.000 31.483  0.91 7.070e+00  24.0956 
OBS: 55031.0000 Z MEDIUM  2.7687e+01  1.524e+00    0  1.000 31.401  0.91 6.772e+00  23.8643 
OBS: 55034.0000 Y MEDIUM  2.5048e+01  1.402e+00    0  1.000 31.483  0.91 7.070e+00  24.1197 
OBS: 55034.0000 H MEDIUM  1.4425e+01  8.268e-01    0  1.000 32.024  0.92 8.866e+00  24.5661 
OBS: 55034.0000 Z MEDIUM  2.6423e+01  1.513e+00    0  1.000 31.401  0.91 6.772e+00  23.9502 
OBS: 55034.0000 J MEDIUM  1.7085e+01  1.099e+00    0  1.000 31.688  0.91 7.642e+00  24.3750 
OBS: 55037.0000 H MEDIUM  1.4690e+01  8.293e-01    0  1.000 32.024  0.92 8.866e+00  24.5054 
OBS: 55037.0000 J MEDIUM  2.0337e+01  1.130e+00    0  1.000 31.688  0.91 7.642e+00  24.3338 
OBS: 55037.0000 Y MEDIUM  2.2580e+01  1.379e+00    0  1.000 31.483  0.91 7.070e+00  24.1286 
OBS: 55037.0000 Z MEDIUM  2.6364e+01  1.512e+00    0  1.000 31.401  0.91 6.772e+00  24.0293 
OBS: 55040.0000 H MEDIUM  1.6986e+01  8.505e-01    0  1.000 32.024  0.92 8.866e+00  24.4722 
OBS: 55040.0000 Y MEDIUM  2.2664e+01  1.380e+00    0  1.000 31.483  0.91 7.070e+00  24.1453 
OBS: 55040.0000 J MEDIUM  1.7983e+01  1.108e+00    0  1.000 31.688  0.91 7.642e+00  24.3107 
OBS: 55040.0000 Z MEDIUM  2.3978e+01  1.491e+00    0  1.000 31.401  0.91 6.772e+00  24.1122 
OBS: 55043.0000 H MEDIUM  1.6324e+01  8.444e-01    0  1.000 32.024  0.92 8.866e+00  24.3991 
OBS: 55043.0000 J MEDIUM  1.7344e+01  1.102e+00    0  1.000 31.688  0.91 7.642e+00  24.2711 
OBS: 55043.0000 Z MEDIUM  1.7154e+01  1.426e+00    0  1.000 31.401  0.91 6.772e+00  24.2056 
OBS: 55043.0000 Y MEDIUM  2.2067e+01  1.374e+00    0  1.000 31.483  0.91 7.070e+00  24.1641 
OBS: 55046.0000 H MEDIUM  1.9015e+01  8.688e-01    0  1.000 32.024  0.92 8.866e+00  24.2919 
OBS: 55046.0000 J MEDIUM  1.9951e+01  1.126e+00    0  1.000 31.688  0.91 7.642e+00  24.2279 
OBS: 55046.0000 Y MEDIUM  2.1003e+01  1.364e+00    0  1.000 31.483  0.91 7.070e+00  24.1926 
OBS: 55046.0000 Z MEDIUM  1.8241e+01  1.437e+00    0  1.000 31.401  0.91 6.772e+00  24.3085 
OBS: 55049.0000 H MEDIUM  2.0241e+01  8.796e-01    0  1.000 32.024  0.92 8.866e+00  24.2118 
OBS: 55049.0000 Z MEDIUM  1.6064e+01  1.416e+00    0  1.000 31.401  0.91 6.772e+00  24.4127 
OBS: 55049.0000 J MEDIUM  2.1038e+01  1.137e+00    0  1.000 31.688  0.91 7.642e+00  24.2075 
OBS: 55049.0000 Y MEDIUM  2.0517e+01  1.360e+00    0  1.000 31.483  0.91 7.070e+00  24.2350 
OBS: 55052.0000 J MEDIUM  1.9190e+01  1.119e+00    0  1.000 31.688  0.91 7.642e+00  24.2304 
OBS: 55052.0000 Y MEDIUM  1.9665e+01  1.352e+00    0  1.000 31.483  0.91 7.070e+00  24.2970 
OBS: 55052.0000 Z MEDIUM  1.4445e+01  1.400e+00    0  1.000 31.401  0.91 6.772e+00  24.5211 
OBS: 55052.0000 H MEDIUM  2.1650e+01  8.920e-01    0  1.000 32.024  0.92 8.866e+00  24.1858 
OBS: 55055.0000 Z MEDIUM  1.4062e+01  1.396e+00    0  1.000 31.401  0.91 6.772e+00  24.6384 
OBS: 55055.0000 J MEDIUM  1.9502e+01  1.122e+00    0  1.000 31.688  0.91 7.642e+00  24.2954 
