SURVEY:   WFIRST
SNID:     945
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55004.996     # estimate for LC fit codes

REDSHIFT_HELIO:   0.521116 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.521723 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.52112  
SIM_REDSHIFT_CMB:    0.52172  
SIM_REDSHIFT_HOST:   0.52112  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.3713   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.365     # host extinction at 5510 A
SIM_RV:            1.519     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.209
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.86  # days 
SIM_TRESTMAX:        39.43  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.01  23.30  23.66  24.10  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 28
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 54990.0000 Y MEDIUM  2.7380e+01  1.423e+00    0  1.000 31.483  0.91 7.070e+00  23.8930 
OBS: 54990.0000 Z MEDIUM  2.9493e+01  1.541e+00    0  1.000 31.401  0.91 6.772e+00  23.8104 
OBS: 54990.0000 H MEDIUM  1.8082e+01  8.604e-01    0  1.000 32.024  0.92 8.866e+00  24.3652 
OBS: 54990.0000 J MEDIUM  2.0954e+01  1.136e+00    0  1.000 31.688  0.91 7.642e+00  24.0981 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 55001.0000 J MEDIUM  3.5369e+01  1.263e+00    0  1.000 31.688  0.91 7.642e+00  23.6099 
OBS: 55001.0000 H MEDIUM  2.5087e+01  9.214e-01    0  1.000 32.024  0.92 8.866e+00  23.9697 
OBS: 55001.0000 Y MEDIUM  4.8918e+01  1.604e+00    0  1.000 31.483  0.91 7.070e+00  23.3019 
OBS: 55001.0000 Z MEDIUM  5.7590e+01  1.774e+00    0  1.000 31.401  0.91 6.772e+00  23.0849 
OBS: 55012.0000 Y MEDIUM  4.6794e+01  1.587e+00    0  1.000 31.483  0.91 7.070e+00  23.3564 
OBS: 55012.0000 H MEDIUM  1.8270e+01  8.621e-01    0  1.000 32.024  0.92 8.866e+00  24.4362 
OBS: 55012.0000 J MEDIUM  3.2043e+01  1.235e+00    0  1.000 31.688  0.91 7.642e+00  23.8430 
OBS: 55012.0000 Z MEDIUM  6.2547e+01  1.812e+00    0  1.000 31.401  0.91 6.772e+00  23.0166 
OBS: 55023.0000 H MEDIUM  1.1462e+01  7.985e-01    0  1.000 32.024  0.92 8.866e+00  24.8410 
OBS: 55023.0000 Z MEDIUM  5.0837e+01  1.721e+00    0  1.000 31.401  0.91 6.772e+00  23.2737 
OBS: 55023.0000 Y MEDIUM  3.5762e+01  1.496e+00    0  1.000 31.483  0.91 7.070e+00  23.6993 
OBS: 55023.0000 J MEDIUM  2.3314e+01  1.157e+00    0  1.000 31.688  0.91 7.642e+00  24.0835 
OBS: 55034.0000 Y MEDIUM  2.6442e+01  1.414e+00    0  1.000 31.483  0.91 7.070e+00  23.9045 
OBS: 55034.0000 H MEDIUM  1.3763e+01  8.206e-01    0  1.000 32.024  0.92 8.866e+00  24.5961 
OBS: 55034.0000 Z MEDIUM  3.3125e+01  1.573e+00    0  1.000 31.401  0.91 6.772e+00  23.6679 
OBS: 55034.0000 J MEDIUM  2.6183e+01  1.183e+00    0  1.000 31.688  0.91 7.642e+00  23.9993 
OBS: 55045.0000 H MEDIUM  2.0571e+01  8.826e-01    0  1.000 32.024  0.92 8.866e+00  24.2083 
OBS: 55045.0000 Z MEDIUM  2.5575e+01  1.505e+00    0  1.000 31.401  0.91 6.772e+00  23.9546 
OBS: 55045.0000 J MEDIUM  2.7277e+01  1.193e+00    0  1.000 31.688  0.91 7.642e+00  23.8925 
OBS: 55045.0000 Y MEDIUM  2.6658e+01  1.416e+00    0  1.000 31.483  0.91 7.070e+00  23.9062 
